Username,Name,Tweet,TimeStamp,Comment,ReTweet,Like,View,Bookmark
@TIFRH_buzz,TIFR Hyderabad,"We are #hiring!

Position: Postdoctoral fellow- #AI/ML & Morphogenesis

The candidate will be joining a project aimed at integrating #ArtificialIntelligence & #MachineLearning with developmental #biology to unravel the principles of morphogenesis.

Apply: https://epic-innovation.org/job-opportunities/…",2024-10-17T06:04:39.000Z,0,5,11,3438,1
@Python_Dv,Python Developer,"Python Tip

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-22T02:14:00.000Z,9,56,411,24019,155
@FrRonconi,Franco Ronconi,"#𝗔𝗜 𝗶𝘀 𝘁𝗿𝗮𝗻𝘀𝗳𝗼𝗿𝗺𝗶𝗻𝗴 𝘁𝗵𝗲 𝗺𝗶𝗰𝗿𝗼-𝗵𝗼𝘂𝘀𝗲 #𝗱𝗲𝘀𝗶𝗴𝗻 𝗽𝗿𝗼𝗰𝗲𝘀𝘀 𝗶𝗻 𝗮 𝗻𝘂𝗺𝗯𝗲𝗿 𝗼𝗳 𝘄𝗮𝘆𝘀

Using AI #Algorithms, designers can optimise the layout for efficient use of space

#MachineLearning customises designs based on occupants' needs,",2024-10-16T16:18:24.000Z,2,11,14,1373,6
@Ronald_vanLoon,Ronald van Loon,"This 10-Storey Building Was Constructed In Just In  28 hours and 45 
via 
@CurieuxExplorer
#Engineering #MachineLearning #Innovation #EmergingTech #Technology #Tech

cc: 
@karpathy
 @patrickgunz_ch
 @ravikikan",2024-10-23T04:13:08.000Z,2,8,15,1323,1
@gp_pulipaka,Dr. Ganapathi Pulipaka,The Best Resources To Learn Python For Machine Learning & Data Science! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode,2024-10-21T06:00:10.000Z,3,4,15,902,5
@songming_liu,Songming Liu,"Introducing 𝐑𝐃𝐓-𝟏𝐁!

Welcome to our cyberpunk bar—why not step inside and grab a drink?

Okay, not really; we demo our robotic AI model, RDT-1B, crafting a Malibu Sunset!

Co-led 
@EthanNg51931527
 #AI #Robotics #diffusion #drink #MachineLearning #cyberpunk #AGI",2024-10-18T05:42:12.000Z,2,15,85,9355,34
@Sheraj99,Syeda Sheraj Ali,Linux Commands Cheat Sheet #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode #SQL,2024-10-15T22:30:03.000Z,0,1,7,316,0
@CurieuxExplorer,Dev Khanna,"There's an AI for that! 

AI tools released recently 
Bookmark for later! 

A Thread 
@Kling_ai
  

#GenAI #kling_ai #AITools #kling #GROK2 #Halloween #Productivity #AI #GenerativeAI #AIart #aiartcommunity #MachineLearning #Data ",2024-10-17T12:43:15.000Z,7,31,48,2559,6
@NimaRoohiS,Nima,Reinforcement Learning #MachineLearning #AI,2020-09-12T23:14:30.000Z,538,10264,30135,0,976
@Google,Google,Happening NOW! AMA w/ Google researchers & #NatandLo. Bring your #machinelearning questions: https://goo.gl/jpbMy9 https://pic.x.com/CGr5ldwgle,2015-09-25T20:03:56.000Z,8,77,175,0,0
@gp_pulipaka,Dr. Ganapathi Pulipaka,"Industrial IoT Apps! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode 
https://geni.us/Industrial-IoT-Apps…",2024-10-14T13:26:01.000Z,1,5,12,694,3
@Google,Google,"Doodle, sketch and create in no time with AutoDraw, a new tool that uses #MachineLearning to help you draw fast → https://goo.gl/4cKOIx",2017-04-11T17:27:42.000Z,120,3829,4348,0,4
@jiesuschrist,,#aiart #art #ai #digitalart #generativeart #artificialintelligence #machinelearning #aiartcommunity #abstractart #nft #aiartists #neuralart #vqgan #ganart #contemporaryart #deepdream #artist #nftart #artoftheday #newmediaart #nightcafestudio #aiartist #modernart #neuralnetworks,2024-10-14T16:38:01.000Z,4,0,9,203,0
@Ronald_vanLoon,Ronald van Loon,"Innovative solutions for preventing corrosion and leaks in storage tanks
via 
@WevolverApp
Video by 
@GeckoRobotics
#AI #ArtificialIntelligence #MI #MachineLearning #Robotics #Tech #Technology

cc: 
@HaroldSinnott
 @gp_pulipaka
 @space_mog",2024-10-23T07:27:08.000Z,1,5,10,577,2
@jblefevre60,Jean-Baptiste Lefevre,"Top compagnies by GenerativeAI patents!

#AI #MachineLearning #DeepLearning #DataScience #GenerativeAI #GenAI #LLM #Python #Code #100DaysOfCode 
@VisualCap
https://voronoiapp.com/technology/Chinese-Companies-Are-Dominating-the-Patent-Race-for-Generative-AI-1879…
@SpirosMargaris
 @PawlowskiMario
 @mvollmer1
 @gvalan
 @ipfconline1
 @LaurentAlaus
 @Shi4Tech
 @Fisher85M",2024-10-14T17:59:55.000Z,5,65,77,4938,13
@tut_ml,tut_ml,"Best ML Courses- https://mltut.com/best-online-courses-for-machine-learning-with-python/…
@KirkDBorne
@antgrasso
@ronald_vanloon
#MachineLearning #DeepLearning #BigData #Datascience #ML #HealthTech #DataVisualization #ArtificialInteligence #SoftwareEngineering #GenAI #deeplearning #ChatGPT #OpenAI #GPT5 #AI #GPT4 #NLP #ML",2024-10-15T11:22:10.000Z,0,18,77,3256,48
@Analytics_699,Mack - #TechTrends,"Predicting fetal well-being from cardiotocography signals 
#BigData #AI #MachineLearning
#Python #javascript #DataScience
#Cloud #Robotics #NLP #Web3 #MedTwitter #DigitalHealth #IoT #mHealth #HealthIT #HealthCare #Programming #Coding #100DaysOfCode
https://research.google/blog/predicting-fetal-well-being-from-cardiotocography-signals-using-ai/…",2024-10-16T17:28:58.000Z,0,9,13,555,9
@DSWithDennis,Data Science With Dennis,CPU vs GPU: Live Coding Challenge with Metrics - #ai #datascience #machinelearning #genai #data #python #openai,2024-10-17T05:36:16.000Z,2,1,4,187,0
@Python_Dv,Python Developer,"Python Dictionary Methods

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-15T20:13:00.000Z,0,44,299,16370,166
@gp_pulipaka,Dr. Ganapathi Pulipaka,"LongLoRA: FineTuning LLMs! #BigData #Analytics #DataScience #AI #MachineLearning #NLProc #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #Books #100DaysofCode 
https://geni.us/LongLora",2024-10-15T16:00:48.000Z,0,6,9,558,0
@Analytics_699,Mack - #TechTrends,"A device called an all-optical switch could use light to control other light signals without the need for electrical conversion, saving both time - energy in fiber-optic communication 
#BigData #AI #MachineLearning
#Python #javascript #DataScience
#Cloud #Robotics #Web3 #Tech",2024-10-21T04:24:29.000Z,1,9,20,513,8
@Google,Google,What does a computer see when it watches a movie? How #machinelearning is helping uncover gender bias in film → http://g.co/GenderEqualityFilms…,2017-03-07T17:34:05.000Z,14,178,341,0,0
@tut_ml,tut_ml,"FREE Data Science Courses- https://mltut.com/udacity-free-courses-on-machine-learning/…
@KirkDBorne
@antgrasso
@ronald_vanloon
#MachineLearning #DeepLearning #BigData #Datascience #ML #HealthTech #DataVisualization #ArtificialInteligence #SoftwareEngineering #GenAI #deeplearning #ChatGPT #OpenAI #GPT5 #AI #GPT4 #ML",2024-10-20T04:31:46.000Z,1,55,219,16444,201
@EthanNg51931527,Lingxuan Wu,"Introduce 𝐑𝐃𝐓-𝟏𝐁1/8

Can a single robot do all the work?

We train the 𝒍𝒂𝒓𝒈𝒆𝒔𝒕 robot diffusion model (1.2B) on 1M+ multi-robot data

Unseen objects/scenes, learns new skills with 𝟏-𝟓 demos

All Open-Source!
Co-led ",2024-10-17T15:18:14.000Z,5,9,34,2619,14
@Python_Dv,Python Developer,"Python List Slicing 

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-17T11:27:00.000Z,5,61,399,21404,205
@Khulood_Almani,Dr. Khulood Almani | د.خلود المانع,"#GenerativeAI  Traditional #AI  What’s the Difference

ما الفرق بين #الذكاء_الاصطناعي_التوليدي و #الذكاء_الاصطناعي التقليدي؟

#innovation #tech #IoT #GenAI #GenerativeAI #technology #TechForGood #MachineLearning #TrendingTech #EmergingTech #Bigdata",2024-10-18T13:10:16.000Z,10,82,151,91098,23
@Python_Dv,Python Developer,"Useful Python Modules

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-16T02:18:00.000Z,6,101,565,40520,446
@Python_Dv,Python Developer,"Anonymous function in Python.

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-15T17:22:00.000Z,0,18,135,8571,73
@Python_Dv,Python Developer,"Python Question / Quiz;

What is the output of the following Python code, and why?  Comment your answers below! 

#python #programming #developer #programmer #coding #coder #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #machinelearning",2024-10-16T11:02:00.000Z,19,13,101,6480,20
@tut_ml,tut_ml,"FREE ML Courses- https://mltut.com/best-free-online-courses-for-machine-learning-and-ai/…
@KirkDBorne
@antgrasso
@ronald_vanloon
#MachineLearning #DeepLearning #BigData #Datascience #ML #HealthTech #DataVisualization #ArtificialInteligence #SoftwareEngineering #GenAI #deeplearning #ChatGPT #OpenAI #GPT5 #AI #GPT4 #NLP #ML",2024-10-20T10:33:30.000Z,2,101,453,39999,491
@Google,Google,"Ah, banging pots—music to our ears. No, really! #ToneTransfer uses #MachineLearning to convert everyday sounds into musical instrumentals. Try it yourself—mix and match music and unlock new sounds → http://goo.gle/33jiOlA",2020-10-01T21:16:55.000Z,13,57,266,0,10
@Python_Dv,Python Developer,"𝐃𝐞𝐯𝐒𝐞𝐜𝐎𝐩𝐬 𝐂𝐲𝐜𝐥𝐞 𝐎𝐯𝐞𝐫𝐯𝐢𝐞𝐰

#𝐃𝐞𝐯𝐒𝐞𝐜𝐎𝐩𝐬 #devops #python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment #pythonprogramming #pythonquiz #ai #ml #machinelearning #datascience",2024-10-16T14:03:00.000Z,3,4,40,3314,16
@gp_pulipaka,Dr. Ganapathi Pulipaka,"FedEx New Robot Loads Delivery Trucks! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode  
https://geni.us/FedEx-Robot",2024-10-20T01:00:04.000Z,3,3,5,1262,1
@Google,Google,Hollywood’s missing women: how we're helping uncover gender bias in film with #machinelearning → http://g.co/GenderEqualityFilms…,2017-02-27T18:41:01.000Z,22,188,303,0,0
